Ticker,Name,Sector,Cap,NameCln
AGS,PlayAGS Inc,Consumer Cyclical,453.0,PlayAGS
FNKO,Funko Inc,Consumer Cyclical,451.0,Funko
CHUY,Chuy`s Holdings Inc,Consumer Cyclical,450.0,Chuy's
HVT,"Haverty Furniture Cos., Inc.",Consumer Cyclical,450.0,Haverty Furniture
RICK,RCI Hospitality Holdings Inc,Consumer Cyclical,444.0,RCI Hospitality
LE,"Lands` End, Inc.",Consumer Cyclical,439.0,Lands' End
LOVE,Lovesac Company,Consumer Cyclical,436.0,Lovesac
SENEA,Seneca Foods Corp.,Consumer Defensive,432.0,Seneca Foods
MOV,"Movado Group, Inc.",Consumer Cyclical,426.0,Movado Group
LIND,Lindblad Expeditions Holdings Inc,Consumer Cyclical,423.0,Lindblad Expeditions
CSV,"Carriage Services, Inc.",Consumer Cyclical,404.0,Carriage Services
CRMT,"Americas Car Mart, Inc.",Consumer Cyclical,390.0,Americas Car Mart
ZUMZ,Zumiez Inc,Consumer Cyclical,384.0,Zumiez
LINC,Lincoln Educational Services Corp,Consumer Defensive,373.0,Lincoln Educational Services
CHGG,Chegg Inc,Consumer Defensive,371.0,Chegg
GPX,GP Strategies Corp.,Consumer Defensive,366.0,GP Strategies
LMNR,Limoneira Co,Consumer Defensive,366.0,Limoneira
DENN,Denny`s Corp.,Consumer Cyclical,364.0,Denny's
MCFT,MasterCraft Boat Holdings Inc,Consumer Cyclical,361.0,MasterCraft Boat
MPX,Marine Products Corp,Consumer Cyclical,353.0,Marine Products
JILL,J.Jill Inc,Consumer Cyclical,350.0,JJill
FLWS,1-800 Flowers.com Inc.,Consumer Cyclical,347.0,1-800 Flowers.com
SGC,Superior Group of Companies Inc..,Consumer Cyclical,329.0,Superior Group of Companies
LOCO,El Pollo Loco Holdings Inc,Consumer Cyclical,325.0,El Pollo Loco
VLGEA,"Village Super Market, Inc.",Consumer Defensive,325.0,Village Super Market
JOUT,Johnson Outdoors Inc,Consumer Cyclical,318.0,Johnson Outdoors
APEI,American Public Education Inc,Consumer Defensive,317.0,American Public Education
QRTEA,Qurate Retail Inc,Consumer Cyclical,316.0,Qurate Retail
GCO,Genesco Inc.,Consumer Cyclical,314.0,Genesco
SNBR,Sleep Number Corp,Consumer Cyclical,307.0,Sleep Number
NATR,"Nature`s Sunshine Products, Inc.",Consumer Defensive,285.0,Nature's Sunshine Products
WEYS,"Weyco Group, Inc",Consumer Cyclical,285.0,Weyco Group
NATH,"Nathan`s Famous, Inc.",Consumer Cyclical,281.0,Nathan's Famous
MED,Medifast Inc,Consumer Cyclical,271.0,Medifast
PBPB,Potbelly Corp,Consumer Cyclical,269.0,Potbelly
RCKY,"Rocky Brands, Inc",Consumer Cyclical,265.0,Rocky Brands
CLAR,Clarus Corp,Consumer Cyclical,265.0,Clarus
VRA,Vera Bradley Inc,Consumer Cyclical,244.0,Vera Bradley
LCUT,"Lifetime Brands, Inc.",Consumer Cyclical,234.0,Lifetime Brands
CPS,Cooper-Standard Holdings Inc,Consumer Cyclical,226.0,Cooper-Standard
LWAY,"Lifeway Foods, Inc.",Consumer Defensive,224.0,Lifeway Foods
SFIX,Stitch Fix Inc,Consumer Cyclical,218.0,Stitch Fix
REV,"Revlon, Inc.",Consumer Defensive,212.0,Revlon
JAX,J. Alexanders Holdings Inc,Consumer Cyclical,211.0,J Alexanders
DXLG,Destination XL Group Inc,Consumer Cyclical,208.0,Destination XL Group
CTRN,Citi Trends Inc,Consumer Cyclical,203.0,Citi Trends
ALCO,Alico Inc.,Consumer Defensive,203.0,Alico
JAKK,Jakks Pacific Inc.,Consumer Cyclical,202.0,Jakks Pacific
VIRC,Virco Manufacturing Corp.,Consumer Cyclical,188.0,Virco Manufacturing
ESCA,"Escalade, Inc.",Consumer Cyclical,188.0,Escalade
HOFT,Hooker Furnishings Corporation,Consumer Cyclical,175.0,Hooker Furnishings
FLXS,"Flexsteel Industries, Inc.",Consumer Cyclical,175.0,Flexsteel Industries
CVGI,Commercial Vehicle Group Inc,Consumer Cyclical,174.0,Commercial Vehicle Group
FLL,"Full House Resorts, Inc.",Consumer Cyclical,173.0,Full House Resorts
PLCE,Childrens Place Inc,Consumer Cyclical,169.0,Childrens Place
STKS,ONE Group Hospitality Inc,Consumer Cyclical,168.0,ONE Group Hospitality
NWHM,New Home Company Inc (The),Consumer Cyclical,163.0,New Home
LAKE,"Lakeland Industries, Inc.",Consumer Cyclical,134.0,Lakeland Industries
ACU,Acme United Corp.,Consumer Defensive,132.0,Acme United
TLYS,Tillys Inc,Consumer Cyclical,131.0,Tillys
SPWH,Sportsman`s Warehouse Holdings Inc,Consumer Cyclical,129.0,Sportsman's Warehouse
BSET,Bassett Furniture Industries Inc.,Consumer Cyclical,128.0,Bassett Furniture Industries
DLTH,Duluth Holdings Inc,Consumer Cyclical,128.0,Duluth
UFI,"UNIFI, Inc.",Consumer Cyclical,120.0,UNIFI
WW,WW International Inc,Consumer Cyclical,117.0,WW International
CPHC,Canterbury Park Holding Corp,Consumer Cyclical,114.0,Canterbury Park
KEQU,Kewaunee Scientific Corporation,Consumer Cyclical,114.0,Kewaunee Scientific
CATO,Cato Corp.,Consumer Cyclical,112.0,Cato
STRT,Strattec Security Corp.,Consumer Cyclical,109.0,Strattec Security
RRGB,Red Robin Gourmet Burgers Inc,Consumer Cyclical,107.0,Red Robin Gourmet Burgers
MPAA,Motorcar Parts of America Inc.,Consumer Cyclical,105.0,Motorcar Parts of America
TZOO,Travelzoo,Consumer Cyclical,105.0,Travelzoo
SUP,"Superior Industries International, Inc.",Consumer Cyclical,104.0,Superior Industries International
BIG,Big Lots Inc,Consumer Defensive,98.0,Big Lots
LFVN,Lifevantage Corporation,Consumer Defensive,98.0,Lifevantage
SERV,Serve Robotics Inc,Consumer Cyclical,96.0,Serve Robotics
BRID,Bridgford Foods Corp.,Consumer Defensive,91.0,Bridgford Foods
RLH,Red Lion Hotels Corporation,Consumer Cyclical,89.0,Red Lion Hotels
DIT,Amcon Distributing Company,Consumer Defensive,88.0,Amcon Distributing
CONN,Conns Inc,Consumer Cyclical,85.0,Conns
NDLS,Noodles & Company,Consumer Cyclical,84.0,Noodles & Company
TUP,Tupperware Brands Corporation,Consumer Cyclical,83.0,Tupperware Brands
CNTY,Century Casinos Inc.,Consumer Cyclical,83.0,Century Casinos
NHTC,Natural Health Trends Corp.,Consumer Cyclical,81.0,Natural Health Trends
LIVE,Live Ventures Inc,Consumer Cyclical,80.0,Live Ventures
WKHS,Workhorse Group Inc,Consumer Cyclical,79.0,Workhorse Group
VOXX,VOXX International Corp,Consumer Cyclical,75.0,VOXX International
BGFV,Big 5 Sporting Goods Corp,Consumer Cyclical,74.0,Big 5 Sporting Goods
FOSL,Fossil Group Inc,Consumer Cyclical,73.0,Fossil Group
CTHR,Charles & Colvard Ltd,Consumer Cyclical,71.0,Charles & Colvard
PRTS,CarParts.com Inc,Consumer Cyclical,66.0,CarParts.com
DVD,Dover Motorsports Inc,Consumer Cyclical,65.0,Dover Motorsports
FARM,Farmer Bros. Co.,Consumer Defensive,63.0,Farmer Bros
LUB,"Luby`s, Inc.",Consumer Cyclical,55.0,Luby's
CULP,Culp Inc.,Consumer Cyclical,55.0,Culp
ARKR,Ark Restaurants Corp.,Consumer Cyclical,54.0,Ark Restaurants
CRWS,"Crown Crafts, Inc.",Consumer Cyclical,54.0,Crown Crafts
BDL,"Flanigan`s Enterprises, Inc.",Consumer Cyclical,52.0,Flanigan's Enterprises
LL,LL Flooring Holdings Inc,Consumer Cyclical,50.0,LL Flooring
INTG,Intergroup Corp.,Consumer Cyclical,49.0,Intergroup
HZN,Horizon Global Corp,Consumer Cyclical,49.0,Horizon Global
PRTY,Party City Holdco Inc,Consumer Cyclical,42.0,Party City Holdco
UG,"United-Guardian, Inc.",Consumer Defensive,42.0,United-Guardian
NAII,"Natural Alternatives International, Inc.",Consumer Defensive,41.0,Natural Alternatives International
TLF,Tandy Leather Factory Inc,Consumer Cyclical,40.0,Tandy Leather Factory
TCS,Container Store Group Inc,Consumer Cyclical,34.0,Container Store Group
BNED,Barnes & Noble Education Inc,Consumer Cyclical,34.0,Barnes & Noble Education
SYPR,"Sypris Solutions, Inc.",Consumer Cyclical,33.0,Sypris Solutions
GTIM,Good Times Restaurants Inc.,Consumer Cyclical,29.0,Good Times Restaurants
KIRK,Kirkland`s Inc,Consumer Cyclical,29.0,Kirkland's
RAVE,Rave Restaurant Group Inc,Consumer Cyclical,28.0,Rave Restaurant Group
TWOU,2U Inc,Consumer Defensive,25.0,2U
VNCE,Vince Holding Corp,Consumer Cyclical,23.0,Vince
WVVI,Willamette Valley Vineyard Inc.,Consumer Defensive,21.0,Willamette Valley Vineyard
